2m,tomorrow
abt,about
b/c,because
bday,birthday
bgd,background
cont,continued
cos,because
coz,because
c,see
cuz,because
da,the
dat,that
datz,thats
deets,details
dis,this
em,them
fab,fabulous
fave,favourite
fav,favorite
fav,favourite
fb,facebook
fwd,forward
kewl,cool
kno,know
k,okay
lemme,letme
lil,little
ll,will
mins,minutes
n,and
peeps,people
pics,pictures
plz,please
pple,people
ppl,people
r,are
s,is
tha,the
thx,thanks
ure,your
ur,your
u,you
ve,have
wat,what
wit,with
woz,was
w,with
yu,you
y,why
